source,id,title,year,dataset_role,open_data,language_annotation,language_evidence,modalities,data_supervision,task_families,concept_types,environments,dataset_evidence,open_evidence,warnings,summary_link,paper_link,project_link
Professor Survey,audio_vla_contact_audio_perception,Audio-VLA: Adding Contact Audio Perception to Vision-Language-Action Model for Robotic Manipulation,2025,uses existing datasets,partial or indirect,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; audio; language,property labels; demonstrations / trajectories,grasping / lifting; insertion / assembly; contact-rich manipulation; material recognition; policy learning / VLA,static property; object state,real robot; offline perception,"LIBERO (Spatial/Object/Goal/Long, official dataset) and 5 RLBench tasks (close jar, insert onto square peg, light bulb in, open drawer, put item in drawer; 100 demos/task from the PerAct/Shridhar split), both audio-augmented. Also a domain-shift condition (random lighting + desktop color/texture, following The Colosseum). Two real-world tasks: Erasing All Whiteboard Marks (EAWM) and Scooping 5 g of Oatmeal (S5GO), 40 teleop demos each.",Promised open-source.,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/professor_survey_raw/knowledge/paper/audio_vla_contact_audio_perception.html,https://arxiv.org/abs/2511.09958,
Professor Survey,audioclip_extending_clip,"AudioCLIP: Extending CLIP to Image, Text and Audio",2021,uses existing datasets,not open,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; audio; language,class labels; self-supervised pairs; simulation labels,simulation / sim2real; representation learning,static property,simulation; offline perception,"AudioSet (~1.8M train, ~20k eval, 527 classes; audio + extracted video frames) as the tri-modal training glue; ImageNet as image zero-shot target; UrbanSound8K (8732 tracks, 10 classes, 10 folds) and ESC-50 (2000 tracks, 50 classes, 5 folds) as audio classification targets. CLIP's ~400M text-image dataset used only indirectly (weight init).",,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/professor_survey_raw/knowledge/paper/audioclip_extending_clip.html,https://arxiv.org/abs/2106.13043,
Professor Survey,beyond_sight_fuse_heterogeneous_sensors_language,Beyond Sight: Finetuning Generalist Robot Policies with Heterogeneous Sensors via Language Grounding,2025,introduces dataset,open / public,task instructions / commands,"task instructions / commands: A newly collected real-world multi-task dataset of 27K (text says ~26,866) robot trajectories spanning vision, touch, audio, proprioception (9-DoF IMU), and language instructions across three tasks (tabletop grasping, shopping bag, button pressing).",vision; tactile; audio; proprioception; language,demonstrations / trajectories; self-supervised pairs,grasping / lifting; contact-rich manipulation; policy learning / VLA; representation learning,object state,real robot; offline perception,"A newly collected real-world multi-task dataset of 27K (text says ~26,866) robot trajectories spanning vision, touch, audio, proprioception (9-DoF IMU), and language instructions across three tasks (tabletop grasping, shopping bag, button pressing). First robot dataset of its kind to include touch + audio with robot action data . All data, code, and models open-sourced.","All data, code, and models open-sourced.",,../source_materials/professor_survey_raw/knowledge/paper/beyond_sight_fuse_heterogeneous_sensors_language.html,https://arxiv.org/abs/2501.04693,https://fuse-model.github.io
Professor Survey,bi_lat_bilateral_control_language_action_chunking,Bi-LAT: Bilateral Control-Based Imitation Learning via Natural Language and Action Chunking with Transformers,2025,self-collected eval data,not open,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; force; language,demonstrations / trajectories; self-supervised pairs,grasping / lifting; pouring / liquids; contact-rich manipulation; policy learning / VLA; simulation / sim2real,none apparent,real robot,"No public benchmark - two custom real-world tasks. Unimanual cup-stacking (Pick &rarr; Move &rarr; Place with deformable paper cups) and bimanual sponge-twisting (Grab &rarr; Lift &rarr; Twist a deformable sponge). Each task has two force conditions paired with language (""softly"" / ""strongly""); 6 demos per task expanded to 60 via DABI [15].",No public benchmark - two custom real-world tasks.,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/professor_survey_raw/knowledge/paper/bi_lat_bilateral_control_language_action_chunking.html,https://arxiv.org/abs/2504.01301,https://mertcookimg.github.io/bi-lat/
Professor Survey,binding_touch_to_everything_unitouch,Binding Touch to Everything: Learning Unified Multimodal Tactile Representations,2024,uses existing datasets,partial or indirect,captions / descriptions; property words,"captions / descriptions: Tasks: material classification, grasp-stability prediction, ObjectFolder 2.0 cross-modal retrieval, touch-to-image generation on Touch and Go, Touch-LLM captioning on Touch and Go. | property words: UniTouch binds vision-based tactile sensing into a pretrained image embedding (ImageBind's) by contrastively aligning touch to its paired RGB image - and because that image space is already aligned with language and audio, touch inherits zero-shot links to text and sound ""for free,"" enabling material classification,...",vision; tactile; audio; language,class labels; property labels; self-supervised pairs,grasping / lifting; material recognition; representation learning,static property,offline perception,"Train on four visuo-tactile datasets (Table 1): Touch and Go (GelSight, 120k), The Feeling of Success (GelSight, 9.3k), YCB-Slide (DIGIT, 183k), ObjectFolder 2.0 (Taxim, 180k). Evaluate in-domain plus three out-of-domain sets with unseen sensors: ObjectFolder Real (GelSlim, 20k), ObjectFolder 1.0 (TACTO, 20k), SSVTP (DIGIT, 4.6k). Tasks: material classification, grasp-stability prediction, ObjectFolder 2.0 cross-modal retrieval, touch-to-image generation on Touch and Go, Touch-LLM captioning on Touch and Go.",,,../source_materials/professor_survey_raw/knowledge/paper/binding_touch_to_everything_unitouch.html,https://arxiv.org/abs/2401.18084,https://cfeng16.github.io/UniTouch/
Supplement,bridgedata_v2_robot_learning_at_scale,BridgeData V2: A Dataset for Robot Learning at Scale,2023,introduces dataset,open / public,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; language,demonstrations / trajectories,none apparent,object state,offline perception,"Introduces BridgeData V2: 60,096 trajectories across 24 environments on a publicly available low-cost robot. The authors publicly share the dataset and pretrained models.","Introduces BridgeData V2: 60,096 trajectories across 24 environments on a publicly available low-cost robot.","language modality/method signal, but no explicit dataset language annotation evidence; dataset-relevant row has no task-family tag",../source_materials/dongyu_survey_raw/knowledge/paper/bridgedata_v2_robot_learning_at_scale.html,https://arxiv.org/abs/2308.12952,
Professor Survey,bridging_language_and_action_survey,Bridging Language and Action: A Survey of Language-Conditioned Robot Manipulation,2024,survey / review,not applicable,none apparent,none apparent: Survey/review paper; no paper-specific dataset language annotations are reported.,vision; language,demonstrations / trajectories,policy learning / VLA,object state,real robot; simulation,"Simulators - PyBullet, MuJoCo, CoppeliaSim, NVIDIA Omniverse, Unity, UniSim (Table 7). Benchmarks - CALVIN, Meta-World, RLBench, VIMAbench, LoHoRavens, ARNOLD, RoboGen, LIBERO (Table 8). Real-world datasets - Open X-Embodiment (2.4M+ trajectories, 22 robots, 527 skills), DROID (76k traj, ~350h), Galaxea Open-World (100k traj, ~500h). A three-family task taxonomy (Table 9): object-centric / interaction-centric / long-horizon.",,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/professor_survey_raw/knowledge/paper/bridging_language_and_action_survey.html,https://arxiv.org/abs/2312.10807,
Supplement,calvin,CALVIN,2022,introduces dataset,open / public,task instructions / commands,"task instructions / commands: Simulated benchmark for long-horizon, language-conditioned Franka Panda manipulation: 4 envs, 34 tasks, 24h of play.",vision; tactile; proprioception; language; point cloud / 3D,demonstrations / trajectories; simulation labels,grasping / lifting; policy learning / VLA; simulation / sim2real,object state,real robot; simulation; offline perception,"CALVIN (Composing Actions from Language and Vision) is an open-source PyBullet-simulated benchmark for learning long-horizon, language-conditioned continuous-control manipulation policies with a Franka Panda arm. It spans four tabletop environments (A, B, C, D), 34 manipulation tasks, and ~1000 crowd-sourced language annotations, with evaluation rollouts chaining five consecutive language-specified sub-tasks. The dataset provides ~6 hours of teleoperated 'play' data per environment (24h total) with static and gripper RGB-D cameras, tactile images, and proprioception.",datasets.bot lists this as a public dataset with license MIT and download URL https://github.com/mees/calvin/blob/main/dataset/README.md.,,../source_materials/datasets_bot_raw/knowledge/paper/calvin.html,https://arxiv.org/abs/2112.03227,https://github.com/mees/calvin
Professor Survey,clap_audio_concepts_language,CLAP: Learning Audio Concepts From Natural Language Supervision,2022,uses existing datasets,unknown,captions / descriptions,"captions / descriptions: CLAP is ""CLIP for audio"": train a paired audio encoder + text encoder with a symmetric contrastive loss on 128k audio-caption pairs to build a joint embedding space, which then does zero-shot audio classification for any user-typed class name and sets zero-shot SoTA on sound-event tasks - the canonical method anchor...",audio; proprioception; language,class labels; temporal / event labels; self-supervised pairs; simulation labels,simulation / sim2real; representation learning,none apparent,simulation; offline perception,"Training - 128,010 audio-text pairs assembled from four sources (Table 4): FSD50k (36,796), ClothoV2 (29,646; 5 captions/clip), AudioCaps (44,292), MACS (17,276); 90,947 unique audios. Evaluation - 16 downstream datasets across 8 domains (Table 5): sound-event classification (ESC50, FSD50K, US8K, DCASE17 Task4, AudioSet), music (GTZAN Music/Speech, GTZAN Genres, Mridangam Stroke/Tonic), instrument (Beijing Opera), acoustic scene (TUT2017), emotion (CREMA-D, RAVDESS), keyword spotting (Speech Commands V2), vocal-sound classification (Vocal Sound), speaker counting (LibriCount).","In general, finding helpful training data for CLAP based on public datasets is difficult, thus relying on large-scale noisy pairs is the only scalable approach.",,../source_materials/professor_survey_raw/knowledge/paper/clap_audio_concepts_language.html,https://arxiv.org/abs/2206.04769,
Professor Survey,cltp_contrastive_language_tactile_pretraining,CLTP: Contrastive Language-Tactile Pre-training for 3D Contact Geometry Understanding,2025,uses existing datasets,unknown,captions / descriptions; property words,"captions / descriptions: CLTP aligns 3D contact-deformed tactile point clouds with natural-language descriptions of multidimensional contact state (shape, area, depth, position, texture) by distilling into a frozen pre-aligned CLIP vision-language space, yielding a tactile encoder that supports zero-shot contact-state classification and fee... | property words: CLTP aligns 3D contact-deformed tactile point clouds with natural-language descriptions of multidimensional contact state (shape, area, depth, position, texture) by distilling into a frozen pre-aligned CLIP vision-language space, yielding a tactile encoder that supports zero-shot contact-state classification and fee...",vision; tactile; language; point cloud / 3D,class labels; property labels; self-supervised pairs; simulation labels,material recognition; simulation / sim2real; representation learning,static property; object state,real robot; simulation; offline perception,"TCL3D, the paper's own dataset - 52,425 samples (50,860 simulated; 1,450 GelStereo real; 115 GelSight real), 117 objects (62 large, mostly YCB; 55 small pegs / McMaster parts), ~400-500 contact samples per object. Evaluated on zero-shot 3D classification, standard contact-state classification (TCL3D + real-world), and Tac3D-LLM QA.",,,../source_materials/professor_survey_raw/knowledge/paper/cltp_contrastive_language_tactile_pretraining.html,https://arxiv.org/abs/2505.08194,
Professor Survey,code_as_monitor_constraint_aware_failure_detection,Code-as-Monitor: Constraint-aware Visual Programming for Reactive and Proactive Robotic Failure Detection,2025,uses existing datasets,not open,predicates / constraints,"predicates / constraints: ConSeg is trained on BridgeData V2 [64]: 10,181 trajectories / 219,356 images, with GPT-4o decomposing instructions into subgoals/constraints/object associations and Grounded SAM [53] + Semantic SAM [32] giving instance/part masks, refined into LISA-format training data.",vision,temporal / event labels; demonstrations / trajectories; simulation labels,grasping / lifting; pouring / liquids; policy learning / VLA; simulation / sim2real; failure detection / recovery,object state; state transition; event; correction signal,real robot; simulation,"Three simulators - CLIPort [57] (Stack in Order, Sweep Half the Blocks), Omnigibson [31] (Slot Pen, Stow Book, Pour Tea), RLBench [22] - plus a real-world setting (Simple Pick & Place, Reasoning Pick & Place in cluttered scenes). ConSeg is trained on BridgeData V2 [64]: 10,181 trajectories / 219,356 images, with GPT-4o decomposing instructions into subgoals/constraints/object associations and Grounded SAM [53] + Semantic SAM [32] giving instance/part masks, refined into LISA-format training data. Segmentation evaluated on ReasonSeg [27] and a proposed ConstraintSeg benchmark (gIoU / cIoU).",,,../source_materials/professor_survey_raw/knowledge/paper/code_as_monitor_constraint_aware_failure_detection.html,https://arxiv.org/abs/2412.04455,
Professor Survey,continuous_object_state_recognition_cooking_vlm,Continuous Object State Recognition for Cooking Robots Using Pre-Trained Vision-Language Models and Black-box Optimization,2024,self-collected eval data,not open,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; thermal; language,class labels; temporal / event labels,pouring / liquids; cooking / food state; object property reasoning; policy learning / VLA; simulation / sim2real,object state; state transition; correction signal,offline perception,"Self-collected. Four state changes - water boiling, butter melting, egg cooking (fried egg), onion stir-frying. Each has an optimization set D opt and an evaluation set D eval ; the true change-end time t data is annotated for evaluation only. Up to ~50 text prompts per state, generated by varying article (""a""/""the""/""this""/ ""that""/none), state word (boiled/unboiled, melted/not-melted synonyms and antonyms), and phrasing form. No public benchmark.",No public benchmark.,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/professor_survey_raw/knowledge/paper/continuous_object_state_recognition_cooking_vlm.html,https://arxiv.org/abs/2403.08239,
Professor Survey,octopi_1_5_visual_tactile_language_model,Demonstrating the Octopi-1.5 Visual-Tactile-Language Model,2025,uses existing datasets,partial or indirect,property words,"property words: Octopi-1.5 is a Qwen2-VL-7B visual-tactile-language model that turns GelSight tactile-video frames into tokens, reasons about object properties (hardness, roughness, texture) in language, and adds a simple retrieval-augmented generation (RAG) module so it can recognize unseen objects on-the-fly - demonstrated live t...",vision; tactile; language,class labels; property labels,grasping / lifting; material recognition,static property,real robot,"Training data (Table I) combines PhysiCLeAR-Plain (100 objects, 2689 tactile videos), PhysiCLeAR-Dotted (68 objects, 1939 videos), Hardness (210 objects, 1860 videos), and ObjectFolder-Real (100 objects, 3550 videos) - an expanded PhysiCLeAR including both marker and markerless GelSight pads, plus hardness [15] and ObjectFolder [13] datasets. Demo evaluation uses three object categories: balls (baseball, plush ball, tennis ball), fruits (apple, partially-ripe kiwi, orange), and completely unseen objects (hairbrush bristles, hairbrush handle, microfiber cloth).","The model is built on Qwen2-VL 7B , an open-source VLM (the previous Octopi used Llama).",,../source_materials/professor_survey_raw/knowledge/paper/octopi_1_5_visual_tactile_language_model.html,https://arxiv.org/abs/2507.09985,https://github.com/clear-nus/octopi-1.5
Supplement,dexmimicgen,DexMimicGen,2024,introduces dataset,open / public,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; proprioception; point cloud / 3D,demonstrations / trajectories; simulation labels,simulation / sim2real,object state,real robot; simulation,"DexMimicGen is an automated data-generation system that synthesizes large-scale trajectory datasets for bimanual dexterous manipulation from a handful of human teleoperation demonstrations. It generated over 21,000 demonstrations from 60 source human demos across 9 simulation tasks in robosuite/MuJoCo, spanning three embodiments (bimanual Panda arms with parallel-jaw grippers, bimanual Panda arms with dexterous hands, and a Fourier GR-1 humanoid with Inspire dexterous hands), and includes a Real2Sim2Real pipeline validated on a real GR-1 robot.",datasets.bot lists this as a public dataset with license CC-BY-NC-4.0 and download URL https://huggingface.co/datasets/MimicGen/dexmimicgen_datasets/tree/main.,,../source_materials/datasets_bot_raw/knowledge/paper/dexmimicgen.html,https://arxiv.org/abs/2410.24185,https://dexmimicgen.github.io/
Professor Survey,dexterity_from_touch_self_supervised_pretraining,Dexterity from Touch: Self-Supervised Pre-Training of Tactile Representations with Robotic Play,2023,uses existing datasets,partial or indirect,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; tactile; force,demonstrations / trajectories; self-supervised pairs,pouring / liquids; contact-rich manipulation; policy learning / VLA; representation learning,event,real robot; offline perception,"2.5 hours (~42k filtered frames) of task-agnostic teleoperated play for pre-training; 6 demos each for five contact-rich downstream tasks - Joystick Movement, Bottle Opening, Cup Unstacking, Bowl Unstacking, Book Opening. Tasks evaluated on new object configurations inside a 10x15 cm box (convex hull of demonstrations). Over 40 hours of robot evaluation total.",,,../source_materials/professor_survey_raw/knowledge/paper/dexterity_from_touch_self_supervised_pretraining.html,https://arxiv.org/abs/2303.12076,
Supplement,dexycb,DexYCB,2021,introduces dataset,open / public,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; point cloud / 3D,class labels,grasping / lifting; simulation / sim2real,object state,offline perception,"DexYCB is a large-scale RGB-D dataset of 582,000 frames capturing 10 human subjects grasping 20 objects from the YCB-Video set, recorded synchronously from 8 calibrated Intel RealSense D415 cameras around a tabletop (640x480 @ 30fps, 1,000 trials total). Each frame is annotated with segmentation masks, 6D object poses, MANO hand pose, and 2D/3D hand joints. It supports tasks including 2D detection, 6D object pose estimation, 3D hand pose estimation, and a robotics-relevant safe human-to-robot handover grasp-generation task.",datasets.bot lists this as a public dataset with license CC-BY-NC-4.0 and download URL https://dex-ycb.github.io/.,,../source_materials/datasets_bot_raw/knowledge/paper/dexycb.html,https://arxiv.org/abs/2104.04631,https://dex-ycb.github.io/
